index,y,a,b
0,1,0,1
1,1,1,0
2,1,0,1
3,1,0,1
4,0,1,1
5,1,1,0
6,0,1,1
7,1,0,1
8,1,0,1
9,0,1,1
10,0,0,0
11,0,1,1
12,0,0,0
13,1,1,0
14,1,0,1
15,1,0,1
16,0,1,1
17,0,0,0
18,1,0,1
19,1,1,0
20,1,1,0
21,1,1,0
22,0,0,0
23,0,0,0
24,1,0,1
25,0,0,0
26,0,0,0
27,0,1,1
28,1,1,0
29,0,1,1
30,1,0,1
31,0,0,0
32,1,1,0
33,1,1,0
34,1,1,0
35,0,0,0
36,1,0,1
37,0,1,1
38,1,0,1
39,0,1,1
40,1,0,1
41,1,1,0
42,0,0,0
43,1,1,0
44,0,0,0
45,0,0,0
46,1,0,1
47,1,1,0
48,1,0,1
49,1,1,0
50,1,1,0
51,1,0,1
52,0,1,1
53,1,1,0
54,0,1,1
55,1,1,0
56,1,0,1
57,0,0,0
58,1,0,1
59,0,1,1
60,1,1,0
61,1,0,1
62,0,1,1
63,1,1,0
64,0,1,1
65,0,1,1
66,1,1,0
67,1,0,1
68,0,1,1
69,1,0,1
70,0,0,0
71,0,1,1
72,0,1,1
73,1,0,1
74,0,1,1
75,1,0,1
76,1,1,0
77,1,0,1
78,0,0,0
79,1,0,1
80,1,0,1
81,1,0,1
82,0,1,1
83,0,1,1
84,1,0,1
85,0,0,0
86,1,0,1
87,1,0,1
88,1,1,0
89,0,0,0
90,1,0,1
91,1,0,1
92,1,1,0
93,0,0,0
94,1,1,0
95,1,0,1
96,1,1,0
97,1,1,0
98,1,1,0
99,0,1,1
100,0,1,1
101,0,0,0
102,1,0,1
103,0,1,1
104,1,0,1
105,0,1,1
106,0,1,1
107,1,0,1
108,0,1,1
109,0,0,0
110,0,0,0
111,1,0,1
112,1,1,0
113,1,1,0
114,0,0,0
115,1,0,1
116,0,0,0
117,0,0,0
118,0,1,1
119,0,0,0
120,0,0,0
121,1,1,0
122,0,1,1
123,1,0,1
124,1,1,0
125,0,1,1
126,1,1,0
127,0,0,0
128,0,0,0
129,0,1,1
130,0,0,0
131,1,0,1
132,0,0,0
133,0,1,1
134,0,0,0
135,0,1,1
136,1,0,1
137,0,1,1
138,0,0,0
139,1,0,1
140,1,0,1
141,1,1,0
142,0,1,1
143,0,1,1
144,1,1,0
145,1,0,1
146,0,0,0
147,0,1,1
148,1,1,0
149,0,1,1
150,0,1,1
151,0,1,1
152,0,0,0
153,1,0,1
154,0,0,0
155,1,1,0
156,0,0,0
157,1,1,0
158,1,1,0
159,0,0,0
160,1,1,0
161,1,1,0
162,0,1,1
163,1,1,0
164,0,1,1
165,0,1,1
166,0,1,1
167,1,1,0
168,0,0,0
169,0,1,1
170,0,1,1
171,1,1,0
172,1,1,0
173,0,1,1
174,1,1,0
175,0,0,0
176,0,1,1
177,1,1,0
178,1,1,0
179,1,1,0
180,0,0,0
181,1,0,1
182,1,1,0
183,0,0,0
184,1,1,0
185,0,0,0
186,0,1,1
187,1,0,1
188,0,0,0
189,0,1,1
190,0,1,1
191,0,0,0
192,1,1,0
193,1,0,1
194,1,0,1
195,0,0,0
196,1,1,0
197,0,0,0
198,0,1,1
199,0,0,0
200,0,1,1
201,1,0,1
202,1,0,1
203,0,1,1
204,0,0,0
205,1,0,1
206,1,0,1
207,1,0,1
208,1,1,0
209,1,1,0
210,1,0,1
211,0,1,1
212,0,0,0
213,0,0,0
214,0,0,0
215,0,0,0
216,1,1,0
217,1,1,0
218,0,0,0
219,1,0,1
220,1,1,0
221,1,0,1
222,1,0,1
223,0,0,0
224,0,1,1
225,1,1,0
226,1,1,0
227,1,0,1
228,0,0,0
229,1,0,1
230,1,0,1
231,0,1,1
232,1,1,0
233,0,0,0
234,0,0,0
235,1,1,0
236,0,1,1
237,0,1,1
238,0,0,0
239,1,1,0
240,0,0,0
241,1,1,0
242,0,0,0
243,0,1,1
244,0,0,0
245,1,0,1
246,1,0,1
247,0,0,0
248,0,0,0
249,1,1,0
250,0,1,1
251,1,0,1
252,1,1,0
253,1,1,0
254,1,1,0
255,0,1,1
256,1,1,0
257,1,0,1
258,0,1,1
259,1,1,0
260,1,0,1
261,0,1,1
262,0,0,0
263,1,1,0
264,1,0,1
265,0,0,0
266,0,0,0
267,0,1,1
268,0,0,0
269,0,1,1
270,1,1,0
271,0,0,0
272,1,1,0
273,0,1,1
274,0,1,1
275,1,1,0
276,0,1,1
277,1,1,0
278,0,1,1
279,0,1,1
280,0,0,0
281,1,1,0
282,0,1,1
283,1,0,1
284,1,0,1
285,1,1,0
286,0,0,0
287,0,1,1
288,0,1,1
289,1,0,1
290,1,0,1
291,1,1,0
292,1,1,0
293,0,1,1
294,0,0,0
295,0,0,0
296,1,0,1
297,0,1,1
298,0,1,1
299,1,1,0
300,1,0,1
301,1,0,1
302,0,0,0
303,0,0,0
304,1,0,1
305,0,0,0
306,0,1,1
307,1,1,0
308,1,1,0
309,1,1,0
310,1,1,0
311,1,0,1
312,1,1,0
313,0,0,0
314,0,0,0
315,1,1,0
316,0,1,1
317,0,0,0
318,1,0,1
319,1,0,1
320,0,0,0
321,1,0,1
322,0,1,1
323,0,1,1
324,0,0,0
325,1,1,0
326,1,0,1
327,1,0,1
328,1,1,0
329,0,1,1
330,1,1,0
331,0,1,1
332,1,0,1
333,0,0,0
334,1,0,1
335,0,0,0
336,1,0,1
337,0,0,0
338,0,0,0
339,0,0,0
340,1,1,0
341,0,1,1
342,0,1,1
343,0,1,1
344,1,1,0
345,0,0,0
346,0,1,1
347,1,1,0
348,0,1,1
349,1,0,1
350,1,0,1
351,0,1,1
352,1,0,1
353,1,1,0
354,0,0,0
355,0,0,0
356,0,1,1
357,0,0,0
358,0,1,1
359,1,0,1
360,0,1,1
361,1,1,0
362,1,0,1
363,0,1,1
364,1,1,0
365,1,0,1
366,1,0,1
367,0,1,1
368,0,1,1
369,1,0,1
370,1,0,1
371,0,0,0
372,0,0,0
373,0,1,1
374,1,1,0
375,1,1,0
376,1,0,1
377,1,0,1
378,0,1,1
379,1,1,0
380,0,0,0
381,1,1,0
382,0,0,0
383,0,0,0
384,0,0,0
385,0,1,1
386,1,1,0
387,1,0,1
388,0,0,0
389,0,0,0
390,0,1,1
391,1,1,0
392,1,0,1
393,1,0,1
394,0,0,0
395,1,0,1
396,1,0,1
397,0,0,0
398,0,0,0
399,0,1,1
