fold,run,eta,h1,h2,mse_te
1,0,0.0001,4.0,4.0,32.411912047694976
1,1,0.0001,4.0,4.0,10.905820249021428
1,2,0.0001,4.0,4.0,11.212904637881353
1,3,0.0001,4.0,4.0,10.824403056666682
1,4,0.0001,4.0,4.0,11.097631912114933
1,5,0.0001,4.0,4.0,10.774874760284908
1,6,0.0001,4.0,4.0,11.02762932814586
1,7,0.0001,4.0,4.0,10.744180853226716
1,8,0.0001,4.0,4.0,10.985257155000316
1,9,0.0001,4.0,4.0,10.725905162009544
1,10,0.0001,4.0,4.0,10.96182321038999
1,11,0.0001,4.0,4.0,10.71671023235291
1,12,0.0001,4.0,4.0,10.95291110522357
1,13,0.0001,4.0,4.0,10.714892412369062
1,14,0.0001,4.0,4.0,10.956478501936797
1,15,0.0001,4.0,4.0,10.719744841365905
1,16,0.0001,4.0,4.0,10.972051235742613
1,17,0.0001,4.0,4.0,10.731280176276957
1,18,0.0001,4.0,4.0,11.000441023910657
1,19,0.0001,4.0,4.0,10.750144130747469
1,20,0.0001,4.0,4.0,11.043791943229483
1,21,0.0001,4.0,4.0,10.777659116798429
1,22,0.0001,4.0,4.0,11.105932093786647
1,23,0.0001,4.0,4.0,10.815990572670197
1,24,0.0001,4.0,4.0,11.193138106894011
1,25,0.0001,4.0,4.0,10.868468045372142
1,26,0.0001,4.0,4.0,11.315608914662821
2,0,0.0001,4.0,4.0,32.72504194372159
2,1,0.0001,4.0,4.0,12.432388306972996
2,2,0.0001,4.0,4.0,15.019182729081828
2,3,0.0001,4.0,4.0,13.092351530227008
2,4,0.0001,4.0,4.0,17.752020778421855
2,5,0.0001,4.0,4.0,13.090183015654857
2,6,0.0001,4.0,4.0,17.4352268050735
2,7,0.0001,4.0,4.0,11.767981795349133
2,8,0.0001,4.0,4.0,12.640193184861412
2,9,0.0001,4.0,4.0,10.657234329592065
2,10,0.0001,4.0,4.0,10.487652841792757
2,11,0.0001,4.0,4.0,10.035054456758193
2,12,0.0001,4.0,4.0,9.717870780918417
2,13,0.0001,4.0,4.0,9.662959339545088
2,14,0.0001,4.0,4.0,9.372311116987754
2,15,0.0001,4.0,4.0,9.426213367116723
2,16,0.0001,4.0,4.0,9.191489226750667
2,17,0.0001,4.0,4.0,9.272673758914934
2,18,0.0001,4.0,4.0,9.091611699110478
2,19,0.0001,4.0,4.0,9.173499407497578
2,20,0.0001,4.0,4.0,9.036001898146724
2,21,0.0001,4.0,4.0,9.110350390986326
2,22,0.0001,4.0,4.0,9.005344788744429
2,23,0.0001,4.0,4.0,9.070996537683513
2,24,0.0001,4.0,4.0,8.989045530809145
2,25,0.0001,4.0,4.0,9.047547955372174
2,26,0.0001,4.0,4.0,8.981546104276802
3,0,0.0001,4.0,4.0,29.016641980916866
3,1,0.0001,4.0,4.0,12.270415885980109
3,2,0.0001,4.0,4.0,13.107890373480526
3,3,0.0001,4.0,4.0,13.22066601607564
3,4,0.0001,4.0,4.0,17.376146549503765
3,5,0.0001,4.0,4.0,14.161170086134177
3,6,0.0001,4.0,4.0,24.178315602670743
3,7,0.0001,4.0,4.0,10.868346536728072
3,8,0.0001,4.0,4.0,11.567139234210396
3,9,0.0001,4.0,4.0,12.156348280176973
3,10,0.0001,4.0,4.0,13.730916519068806
3,11,0.0001,4.0,4.0,11.121497819398082
3,12,0.0001,4.0,4.0,10.537222905612348
3,13,0.0001,4.0,4.0,10.768765268695343
3,14,0.0001,4.0,4.0,10.199772415102608
3,15,0.0001,4.0,4.0,10.547961747997704
3,16,0.0001,4.0,4.0,10.043253110197671
3,17,0.0001,4.0,4.0,10.394062789989377
