fold,run,eta,h1,h2,ce_te,acc_te
1,0,0.1,6.0,4.0,,0.0
1,1,0.1,6.0,4.0,,0.0
1,2,0.1,6.0,4.0,,0.0
1,3,0.1,6.0,4.0,,0.0
1,4,0.1,6.0,4.0,,0.0
1,5,0.1,6.0,4.0,,0.0
1,6,0.1,6.0,4.0,,0.0
1,7,0.1,6.0,4.0,,0.0
1,8,0.1,6.0,4.0,,0.0
1,9,0.1,6.0,4.0,,0.0
1,10,0.1,6.0,4.0,,0.0
1,11,0.1,6.0,4.0,,0.0
1,12,0.1,6.0,4.0,,0.0
1,13,0.1,6.0,4.0,,0.0
1,14,0.1,6.0,4.0,,0.0
1,15,0.1,6.0,4.0,,0.0
1,16,0.1,6.0,4.0,,0.0
1,17,0.1,6.0,4.0,,0.0
1,18,0.1,6.0,4.0,,0.0
1,19,0.1,6.0,4.0,,0.0
1,20,0.1,6.0,4.0,,0.0
1,21,0.1,6.0,4.0,,0.0
1,22,0.1,6.0,4.0,,0.0
1,23,0.1,6.0,4.0,,0.0
1,24,0.1,6.0,4.0,,0.0
1,25,0.1,6.0,4.0,,0.0
1,26,0.1,6.0,4.0,,0.0
1,27,0.1,6.0,4.0,,0.0
1,28,0.1,6.0,4.0,,0.0
1,29,0.1,6.0,4.0,,0.0
1,30,0.1,6.0,4.0,,0.0
1,31,0.1,6.0,4.0,,0.0
1,32,0.1,6.0,4.0,,0.0
2,0,0.1,6.0,4.0,2612.436062178701,0.6546762589928058
2,1,0.1,6.0,4.0,3136.5959701342917,0.6546762589928058
2,2,0.1,6.0,4.0,,0.6546762589928058
2,3,0.1,6.0,4.0,1014.3386859423957,0.6546762589928058
2,4,0.1,6.0,4.0,3682.1770584445335,0.6546762589928058
2,5,0.1,6.0,4.0,,0.6546762589928058
2,6,0.1,6.0,4.0,726.6963201999824,0.6546762589928058
2,7,0.1,6.0,4.0,4219.776035391472,0.6546762589928058
2,8,0.1,6.0,4.0,3396.7163237237755,0.6546762589928058
2,9,0.1,6.0,4.0,445.7249073815816,0.6546762589928058
2,10,0.1,6.0,4.0,4606.147828418926,0.6546762589928058
2,11,0.1,6.0,4.0,3195.003026785412,0.6546762589928058
2,12,0.1,6.0,4.0,261.29518448781187,0.6546762589928058
2,13,0.1,6.0,4.0,3908.141679910287,0.6546762589928058
2,14,0.1,6.0,4.0,3545.447741298731,0.6546762589928058
2,15,0.1,6.0,4.0,607.8592299826281,0.6546762589928058
2,16,0.1,6.0,4.0,4425.102243799098,0.6546762589928058
2,17,0.1,6.0,4.0,3289.8309147716195,0.6546762589928058
2,18,0.1,6.0,4.0,343.06342534987454,0.6546762589928058
2,19,0.1,6.0,4.0,4487.762065702413,0.6546762589928058
2,20,0.1,6.0,4.0,3259.4965543576236,0.6546762589928058
2,21,0.1,6.0,4.0,313.3856071088339,0.6546762589928058
2,22,0.1,6.0,4.0,4360.00457335211,0.6546762589928058
2,23,0.1,6.0,4.0,3326.4618994079706,0.6546762589928058
2,24,0.1,6.0,4.0,374.90629683222375,0.6546762589928058
2,25,0.1,6.0,4.0,4564.959567087344,0.6546762589928058
2,26,0.1,6.0,4.0,3217.7149038699695,0.6546762589928058
2,27,0.1,6.0,4.0,278.68206871851504,0.6546762589928058
2,28,0.1,6.0,4.0,4103.292873432091,0.6546762589928058
2,29,0.1,6.0,4.0,3460.7082416041076,0.6546762589928058
2,30,0.1,6.0,4.0,505.87433189858575,0.6546762589928058
2,31,0.1,6.0,4.0,4564.731485616141,0.6546762589928058
2,32,0.1,6.0,4.0,3217.775258970608,0.6546762589928058
3,0,0.1,6.0,4.0,,0.0
3,1,0.1,6.0,4.0,,0.0
3,2,0.1,6.0,4.0,,0.0
3,3,0.1,6.0,4.0,,0.0
3,4,0.1,6.0,4.0,,0.0
3,5,0.1,6.0,4.0,,0.0
3,6,0.1,6.0,4.0,,0.0
3,7,0.1,6.0,4.0,,0.0
3,8,0.1,6.0,4.0,,0.0
3,9,0.1,6.0,4.0,,0.0
3,10,0.1,6.0,4.0,,0.0
3,11,0.1,6.0,4.0,,0.0
3,12,0.1,6.0,4.0,,0.0
3,13,0.1,6.0,4.0,,0.0
3,14,0.1,6.0,4.0,,0.0
3,15,0.1,6.0,4.0,,0.0
3,16,0.1,6.0,4.0,,0.0
3,17,0.1,6.0,4.0,,0.0
3,18,0.1,6.0,4.0,,0.0
3,19,0.1,6.0,4.0,,0.0
3,20,0.1,6.0,4.0,,0.0
3,21,0.1,6.0,4.0,,0.0
3,22,0.1,6.0,4.0,,0.0
3,23,0.1,6.0,4.0,,0.0
3,24,0.1,6.0,4.0,,0.0
3,25,0.1,6.0,4.0,,0.0
3,26,0.1,6.0,4.0,,0.0
3,27,0.1,6.0,4.0,,0.0
3,28,0.1,6.0,4.0,,0.0
3,29,0.1,6.0,4.0,,0.0
3,30,0.1,6.0,4.0,,0.0
3,31,0.1,6.0,4.0,,0.0
3,32,0.1,6.0,4.0,,0.0
4,0,0.1,6.0,4.0,,0.0
4,1,0.1,6.0,4.0,,0.0
4,2,0.1,6.0,4.0,,0.0
4,3,0.1,6.0,4.0,,0.0
4,4,0.1,6.0,4.0,,0.0
4,5,0.1,6.0,4.0,,0.0
4,6,0.1,6.0,4.0,,0.0
4,7,0.1,6.0,4.0,,0.0
4,8,0.1,6.0,4.0,,0.0
