fold,run,eta,h1,h2,mse_te
1,0,1e-05,4.0,2.0,
1,1,1e-05,4.0,2.0,
1,2,1e-05,4.0,2.0,
1,3,1e-05,4.0,2.0,
1,4,1e-05,4.0,2.0,
1,5,1e-05,4.0,2.0,
1,6,1e-05,4.0,2.0,
1,7,1e-05,4.0,2.0,
1,8,1e-05,4.0,2.0,
1,9,1e-05,4.0,2.0,
1,10,1e-05,4.0,2.0,
1,11,1e-05,4.0,2.0,
1,12,1e-05,4.0,2.0,
1,13,1e-05,4.0,2.0,
1,14,1e-05,4.0,2.0,
1,15,1e-05,4.0,2.0,
1,16,1e-05,4.0,2.0,
2,0,1e-05,4.0,2.0,
2,1,1e-05,4.0,2.0,
2,2,1e-05,4.0,2.0,
2,3,1e-05,4.0,2.0,
2,4,1e-05,4.0,2.0,
2,5,1e-05,4.0,2.0,
2,6,1e-05,4.0,2.0,
2,7,1e-05,4.0,2.0,
2,8,1e-05,4.0,2.0,
2,9,1e-05,4.0,2.0,
2,10,1e-05,4.0,2.0,
2,11,1e-05,4.0,2.0,
2,12,1e-05,4.0,2.0,
2,13,1e-05,4.0,2.0,
2,14,1e-05,4.0,2.0,
2,15,1e-05,4.0,2.0,
2,16,1e-05,4.0,2.0,
3,0,1e-05,4.0,2.0,1.5586120261916845
3,1,1e-05,4.0,2.0,1.5586120261916845
3,2,1e-05,4.0,2.0,1.5586120261916845
3,3,1e-05,4.0,2.0,1.5586120261916845
3,4,1e-05,4.0,2.0,1.5586120261916845
3,5,1e-05,4.0,2.0,1.5586120261916845
3,6,1e-05,4.0,2.0,1.5586120261916845
3,7,1e-05,4.0,2.0,1.5586120261916845
3,8,1e-05,4.0,2.0,1.5586120261916845
3,9,1e-05,4.0,2.0,1.5586120261916845
3,10,1e-05,4.0,2.0,1.5586120261916845
3,11,1e-05,4.0,2.0,1.5586120261916845
3,12,1e-05,4.0,2.0,1.5586120261916845
3,13,1e-05,4.0,2.0,1.5586120261916845
3,14,1e-05,4.0,2.0,1.5586120261916845
3,15,1e-05,4.0,2.0,1.5586120261916845
3,16,1e-05,4.0,2.0,1.5586120261916845
4,0,1e-05,4.0,2.0,1.587233956095
4,1,1e-05,4.0,2.0,1.587233956095
4,2,1e-05,4.0,2.0,1.587233956095
4,3,1e-05,4.0,2.0,1.587233956095
4,4,1e-05,4.0,2.0,1.587233956095
4,5,1e-05,4.0,2.0,1.587233956095
4,6,1e-05,4.0,2.0,1.587233956095
4,7,1e-05,4.0,2.0,1.587233956095
4,8,1e-05,4.0,2.0,1.587233956095
4,9,1e-05,4.0,2.0,1.587233956095
4,10,1e-05,4.0,2.0,1.587233956095
4,11,1e-05,4.0,2.0,1.587233956095
4,12,1e-05,4.0,2.0,1.587233956095
4,13,1e-05,4.0,2.0,1.587233956095
4,14,1e-05,4.0,2.0,1.587233956095
4,15,1e-05,4.0,2.0,1.587233956095
4,16,1e-05,4.0,2.0,1.587233956095
5,0,1e-05,4.0,2.0,
5,1,1e-05,4.0,2.0,
5,2,1e-05,4.0,2.0,
5,3,1e-05,4.0,2.0,
5,4,1e-05,4.0,2.0,
5,5,1e-05,4.0,2.0,
5,6,1e-05,4.0,2.0,
5,7,1e-05,4.0,2.0,
5,8,1e-05,4.0,2.0,
5,9,1e-05,4.0,2.0,
5,10,1e-05,4.0,2.0,
5,11,1e-05,4.0,2.0,
5,12,1e-05,4.0,2.0,
5,13,1e-05,4.0,2.0,
5,14,1e-05,4.0,2.0,
5,15,1e-05,4.0,2.0,
5,16,1e-05,4.0,2.0,
