fold,run,eta,h1,h2,mse_te
1,0,0.01,6.0,6.0,64146.19193624204
1,1,0.01,6.0,6.0,108105.90577362252
1,2,0.01,6.0,6.0,33448.98562441647
1,3,0.01,6.0,6.0,33815.26513606161
1,4,0.01,6.0,6.0,31051.334996634778
2,0,0.01,6.0,6.0,78107.46768487329
2,1,0.01,6.0,6.0,74451.34136408726
2,2,0.01,6.0,6.0,24130.079288367928
2,3,0.01,6.0,6.0,9816.87380222531
2,4,0.01,6.0,6.0,11050.93022869162
3,0,0.01,6.0,6.0,77994.70441173034
3,1,0.01,6.0,6.0,87702.19191294795
3,2,0.01,6.0,6.0,21792.598465561838
3,3,0.01,6.0,6.0,8748.299713811026
3,4,0.01,6.0,6.0,9084.929692847823
4,0,0.01,6.0,6.0,104361.92171262775
4,1,0.01,6.0,6.0,189302.18809105217
4,2,0.01,6.0,6.0,70596.57201370779
4,3,0.01,6.0,6.0,76073.50080553775
4,4,0.01,6.0,6.0,70178.87245034701
5,0,0.01,6.0,6.0,82439.47905508854
5,1,0.01,6.0,6.0,60407.791447019255
5,2,0.01,6.0,6.0,23967.367914181483
5,3,0.01,6.0,6.0,9065.444234086577
5,4,0.01,6.0,6.0,11167.36905179207
