fold,run,eta,h1,h2,mse_te
1,0,0.0001,8.0,6.0,21.634226934348142
1,1,0.0001,8.0,6.0,18.265413576384958
1,2,0.0001,8.0,6.0,37.47325215062472
1,3,0.0001,8.0,6.0,13.88943646570531
1,4,0.0001,8.0,6.0,10.250844271576325
1,5,0.0001,8.0,6.0,10.010748943509936
1,6,0.0001,8.0,6.0,9.704392213109632
1,7,0.0001,8.0,6.0,9.38591549662155
1,8,0.0001,8.0,6.0,9.071208184731585
1,9,0.0001,8.0,6.0,8.774708268138745
1,10,0.0001,8.0,6.0,8.499746104880796
1,11,0.0001,8.0,6.0,8.24746353421698
1,12,0.0001,8.0,6.0,8.020890023066341
1,13,0.0001,8.0,6.0,7.82148907089634
1,14,0.0001,8.0,6.0,7.650333208717261
1,15,0.0001,8.0,6.0,7.506411131262673
1,16,0.0001,8.0,6.0,7.387678363542566
1,17,0.0001,8.0,6.0,7.290920102824192
1,18,0.0001,8.0,6.0,7.21263909221249
1,19,0.0001,8.0,6.0,7.149264570426562
1,20,0.0001,8.0,6.0,7.097594096345864
1,21,0.0001,8.0,6.0,7.054854469838014
1,22,0.0001,8.0,6.0,7.018795708865581
1,23,0.0001,8.0,6.0,6.987627097300729
1,24,0.0001,8.0,6.0,6.9599719096194335
1,25,0.0001,8.0,6.0,6.934780113207768
1,26,0.0001,8.0,6.0,6.911263063273687
1,27,0.0001,8.0,6.0,6.888827215376223
1,28,0.0001,8.0,6.0,6.8670256697003484
1,29,0.0001,8.0,6.0,6.845517271023544
1,30,0.0001,8.0,6.0,6.824037209513162
1,31,0.0001,8.0,6.0,6.802373997163792
1,32,0.0001,8.0,6.0,6.780353122096158
1,33,0.0001,8.0,6.0,6.757824410525551
1,34,0.0001,8.0,6.0,6.73465323436711
1,35,0.0001,8.0,6.0,6.710713325352286
1,36,0.0001,8.0,6.0,6.6858820547344
1,37,0.0001,8.0,6.0,6.6600359271545795
1,38,0.0001,8.0,6.0,6.63304809167369
1,39,0.0001,8.0,6.0,6.604785123094688
1,40,0.0001,8.0,6.0,6.575106058146023
1,41,0.0001,8.0,6.0,6.543859934847165
1,42,0.0001,8.0,6.0,6.510886591056852
1,43,0.0001,8.0,6.0,6.476015101338284
1,44,0.0001,8.0,6.0,6.439067793212561
1,45,0.0001,8.0,6.0,6.399860442263661
1,46,0.0001,8.0,6.0,6.358213175901002
1,47,0.0001,8.0,6.0,6.313953837493742
1,48,0.0001,8.0,6.0,6.266943647893171
2,0,0.0001,8.0,6.0,21.93293655251346
2,1,0.0001,8.0,6.0,18.452170850839554
2,2,0.0001,8.0,6.0,36.988613280276816
2,3,0.0001,8.0,6.0,13.905774427118402
2,4,0.0001,8.0,6.0,10.578309679265152
2,5,0.0001,8.0,6.0,10.296661614444083
2,6,0.0001,8.0,6.0,9.95265862812156
2,7,0.0001,8.0,6.0,9.601107669186625
2,8,0.0001,8.0,6.0,9.259687348796446
2,9,0.0001,8.0,6.0,8.939702733117505
2,10,0.0001,8.0,6.0,8.643728588933582
2,11,0.0001,8.0,6.0,8.372766770510209
2,12,0.0001,8.0,6.0,8.129932610712652
2,13,0.0001,8.0,6.0,7.916727648123552
2,14,0.0001,8.0,6.0,7.734096987936394
2,15,0.0001,8.0,6.0,7.580833040503181
2,16,0.0001,8.0,6.0,7.454576589397325
2,17,0.0001,8.0,6.0,7.351823629526721
2,18,0.0001,8.0,6.0,7.268753115906706
2,19,0.0001,8.0,6.0,7.201550094602956
2,20,0.0001,8.0,6.0,7.146771546261394
2,21,0.0001,8.0,6.0,7.1014836003864135
2,22,0.0001,8.0,6.0,7.0632838900027215
2,23,0.0001,8.0,6.0,7.030288573245099
2,24,0.0001,8.0,6.0,7.001031161263848
2,25,0.0001,8.0,6.0,6.974410754025815
2,26,0.0001,8.0,6.0,6.9495868613090925
2,27,0.0001,8.0,6.0,6.925938622191223
2,28,0.0001,8.0,6.0,6.902988661235949
2,29,0.0001,8.0,6.0,6.880380855896824
2,30,0.0001,8.0,6.0,6.857831484554241
2,31,0.0001,8.0,6.0,6.835120168074041
2,32,0.0001,8.0,6.0,6.812059342452708
2,33,0.0001,8.0,6.0,6.788492379768257
2,34,0.0001,8.0,6.0,6.764273860119572
2,35,0.0001,8.0,6.0,6.739270968497625
2,36,0.0001,8.0,6.0,6.713349701099351
2,37,0.0001,8.0,6.0,6.6863774409153365
2,38,0.0001,8.0,6.0,6.658212252421156
2,39,0.0001,8.0,6.0,6.628705656322871
2,40,0.0001,8.0,6.0,6.597693561659904
2,41,0.0001,8.0,6.0,6.564999017846634
2,42,0.0001,8.0,6.0,6.530424807365984
2,43,0.0001,8.0,6.0,6.493756984154536
2,44,0.0001,8.0,6.0,6.454762264698273
2,45,0.0001,8.0,6.0,6.4131951588272935
2,46,0.0001,8.0,6.0,6.368811010003549
2,47,0.0001,8.0,6.0,6.321379678531801
2,48,0.0001,8.0,6.0,6.2707409092552595
3,0,0.0001,8.0,6.0,19.479418665254347
3,1,0.0001,8.0,6.0,19.61480104476043
3,2,0.0001,8.0,6.0,34.0838276638697
3,3,0.0001,8.0,6.0,12.371980782071004
3,4,0.0001,8.0,6.0,9.868895466691901
3,5,0.0001,8.0,6.0,9.477738435971709
