fold,run,eta,h1,h2,ce_te,acc_te
1,0,0.001,3.0,2.0,717.2770065531645,0.6982758620689655
1,1,0.001,3.0,2.0,619.5511870108146,0.6982758620689655
1,2,0.001,3.0,2.0,573.9909379520547,0.6982758620689655
1,3,0.001,3.0,2.0,550.6955547304334,0.6982758620689655
1,4,0.001,3.0,2.0,537.8227647012718,0.6982758620689655
1,5,0.001,3.0,2.0,530.1910461414349,0.6982758620689655
1,6,0.001,3.0,2.0,525.3882313960626,0.6982758620689655
1,7,0.001,3.0,2.0,522.2197351728515,0.6982758620689655
1,8,0.001,3.0,2.0,520.0536768765553,0.6982758620689655
1,9,0.001,3.0,2.0,518.5333940533395,0.6982758620689655
1,10,0.001,3.0,2.0,517.4454092516099,0.6982758620689655
1,11,0.001,3.0,2.0,516.6554753531033,0.6982758620689655
1,12,0.001,3.0,2.0,516.0757417734624,0.6982758620689655
1,13,0.001,3.0,2.0,515.6468843777764,0.6982758620689655
1,14,0.001,3.0,2.0,515.3278368892895,0.6982758620689655
1,15,0.001,3.0,2.0,515.0896034290282,0.6982758620689655
1,16,0.001,3.0,2.0,514.9113788070015,0.6982758620689655
1,17,0.001,3.0,2.0,514.7780350836242,0.6982758620689655
1,18,0.001,3.0,2.0,514.6784491952621,0.6982758620689655
1,19,0.001,3.0,2.0,514.6043654014036,0.6982758620689655
1,20,0.001,3.0,2.0,514.5496070685933,0.6982758620689655
1,21,0.001,3.0,2.0,514.5095218020273,0.6982758620689655
1,22,0.001,3.0,2.0,514.4805854340085,0.6982758620689655
1,23,0.001,3.0,2.0,514.460115945294,0.6982758620689655
1,24,0.001,3.0,2.0,514.4460645663836,0.6982758620689655
1,25,0.001,3.0,2.0,514.4368617638562,0.6982758620689655
1,26,0.001,3.0,2.0,514.4313027104615,0.6982758620689655
1,27,0.001,3.0,2.0,514.4284614580473,0.6982758620689655
1,28,0.001,3.0,2.0,514.4276261754035,0.6982758620689655
1,29,0.001,3.0,2.0,514.4282499799585,0.6982758620689655
1,30,0.001,3.0,2.0,514.4299134045448,0.6982758620689655
1,31,0.001,3.0,2.0,514.4322956078885,0.6982758620689655
1,32,0.001,3.0,2.0,514.4351521988568,0.6982758620689655
1,33,0.001,3.0,2.0,514.438298092886,0.6982758620689655
1,34,0.001,3.0,2.0,514.4415942176079,0.6982758620689655
1,35,0.001,3.0,2.0,514.4449371768528,0.6982758620689655
1,36,0.001,3.0,2.0,514.4482511980771,0.6982758620689655
1,37,0.001,3.0,2.0,514.4514818489085,0.6982758620689655
1,38,0.001,3.0,2.0,514.4545911289002,0.6982758620689655
1,39,0.001,3.0,2.0,514.4575536333664,0.6982758620689655
1,40,0.001,3.0,2.0,514.4603535550448,0.6982758620689655
1,41,0.001,3.0,2.0,514.4629823418593,0.6982758620689655
1,42,0.001,3.0,2.0,514.4654368693132,0.6982758620689655
1,43,0.001,3.0,2.0,514.467718017054,0.6982758620689655
1,44,0.001,3.0,2.0,514.4698295631283,0.6982758620689655
1,45,0.001,3.0,2.0,514.4717773280502,0.6982758620689655
1,46,0.001,3.0,2.0,514.4735685153195,0.6982758620689655
1,47,0.001,3.0,2.0,514.4752112063484,0.6982758620689655
1,48,0.001,3.0,2.0,514.4767139766406,0.6982758620689655
1,49,0.001,3.0,2.0,514.478085607046,0.6982758620689655
1,50,0.001,3.0,2.0,514.479334869408,0.6982758620689655
2,0,0.001,3.0,2.0,706.610482822151,0.7034883720930233
2,1,0.001,3.0,2.0,608.6790512601497,0.7034883720930233
2,2,0.001,3.0,2.0,562.9802965561347,0.7034883720930233
2,3,0.001,3.0,2.0,539.5165224022904,0.7034883720930233
2,4,0.001,3.0,2.0,526.4645989748425,0.7034883720930233
2,5,0.001,3.0,2.0,518.6621604472199,0.7034883720930233
2,6,0.001,3.0,2.0,513.7051437364398,0.7034883720930233
2,7,0.001,3.0,2.0,510.4001143999193,0.7034883720930233
2,8,0.001,3.0,2.0,508.1135374266406,0.7034883720930233
2,9,0.001,3.0,2.0,506.4864647035546,0.7034883720930233
2,10,0.001,3.0,2.0,505.30333277952553,0.7034883720930233
2,11,0.001,3.0,2.0,504.42820637330277,0.7034883720930233
2,12,0.001,3.0,2.0,503.77191150495594,0.7034883720930233
