fold,run,eta,h1,h2,mse_te
1,0,1e-05,4.0,2.0,
1,1,1e-05,4.0,2.0,
1,2,1e-05,4.0,2.0,
1,3,1e-05,4.0,2.0,
1,4,1e-05,4.0,2.0,
1,5,1e-05,4.0,2.0,
1,6,1e-05,4.0,2.0,
1,7,1e-05,4.0,2.0,
1,8,1e-05,4.0,2.0,
1,9,1e-05,4.0,2.0,
1,10,1e-05,4.0,2.0,
1,11,1e-05,4.0,2.0,
1,12,1e-05,4.0,2.0,
1,13,1e-05,4.0,2.0,
1,14,1e-05,4.0,2.0,
1,15,1e-05,4.0,2.0,
1,16,1e-05,4.0,2.0,
1,17,1e-05,4.0,2.0,
1,18,1e-05,4.0,2.0,
1,19,1e-05,4.0,2.0,
1,20,1e-05,4.0,2.0,
1,21,1e-05,4.0,2.0,
2,0,1e-05,4.0,2.0,1.9288723130955963
2,1,1e-05,4.0,2.0,1.9288723130955963
2,2,1e-05,4.0,2.0,1.9288723130955963
2,3,1e-05,4.0,2.0,1.9288723130955963
2,4,1e-05,4.0,2.0,1.9288723130955963
2,5,1e-05,4.0,2.0,1.9288723130955963
2,6,1e-05,4.0,2.0,1.9288723130955963
2,7,1e-05,4.0,2.0,1.9288723130955963
2,8,1e-05,4.0,2.0,1.9288723130955963
2,9,1e-05,4.0,2.0,1.9288723130955963
2,10,1e-05,4.0,2.0,1.9288723130955963
2,11,1e-05,4.0,2.0,1.9288723130955963
2,12,1e-05,4.0,2.0,1.9288723130955963
2,13,1e-05,4.0,2.0,1.9288723130955963
2,14,1e-05,4.0,2.0,1.9288723130955963
2,15,1e-05,4.0,2.0,1.9288723130955963
2,16,1e-05,4.0,2.0,1.9288723130955963
2,17,1e-05,4.0,2.0,1.9288723130955963
2,18,1e-05,4.0,2.0,1.9288723130955963
2,19,1e-05,4.0,2.0,1.9288723130955963
2,20,1e-05,4.0,2.0,1.9288723130955963
2,21,1e-05,4.0,2.0,1.9288723130955963
3,0,1e-05,4.0,2.0,1.9202265918662802
3,1,1e-05,4.0,2.0,1.9202265918662802
3,2,1e-05,4.0,2.0,1.9202265918662802
3,3,1e-05,4.0,2.0,1.9202265918662802
3,4,1e-05,4.0,2.0,1.9202265918662802
3,5,1e-05,4.0,2.0,1.9202265918662802
3,6,1e-05,4.0,2.0,1.9202265918662802
3,7,1e-05,4.0,2.0,1.9202265918662802
3,8,1e-05,4.0,2.0,1.9202265918662802
3,9,1e-05,4.0,2.0,1.9202265918662802
3,10,1e-05,4.0,2.0,1.9202265918662802
3,11,1e-05,4.0,2.0,1.9202265918662802
3,12,1e-05,4.0,2.0,1.9202265918662802
3,13,1e-05,4.0,2.0,1.9202265918662802
3,14,1e-05,4.0,2.0,1.9202265918662802
3,15,1e-05,4.0,2.0,1.9202265918662802
3,16,1e-05,4.0,2.0,1.9202265918662802
3,17,1e-05,4.0,2.0,1.9202265918662802
3,18,1e-05,4.0,2.0,1.9202265918662802
3,19,1e-05,4.0,2.0,1.9202265918662802
3,20,1e-05,4.0,2.0,1.9202265918662802
3,21,1e-05,4.0,2.0,1.9202265918662802
4,0,1e-05,4.0,2.0,
4,1,1e-05,4.0,2.0,
4,2,1e-05,4.0,2.0,
4,3,1e-05,4.0,2.0,
4,4,1e-05,4.0,2.0,
4,5,1e-05,4.0,2.0,
4,6,1e-05,4.0,2.0,
4,7,1e-05,4.0,2.0,
4,8,1e-05,4.0,2.0,
4,9,1e-05,4.0,2.0,
4,10,1e-05,4.0,2.0,
4,11,1e-05,4.0,2.0,
4,12,1e-05,4.0,2.0,
4,13,1e-05,4.0,2.0,
4,14,1e-05,4.0,2.0,
4,15,1e-05,4.0,2.0,
4,16,1e-05,4.0,2.0,
4,17,1e-05,4.0,2.0,
4,18,1e-05,4.0,2.0,
4,19,1e-05,4.0,2.0,
4,20,1e-05,4.0,2.0,
4,21,1e-05,4.0,2.0,
5,0,1e-05,4.0,2.0,1.6731552896496669
5,1,1e-05,4.0,2.0,1.6731552896496669
5,2,1e-05,4.0,2.0,1.6731552896496669
5,3,1e-05,4.0,2.0,1.6731552896496669
5,4,1e-05,4.0,2.0,1.6731552896496669
5,5,1e-05,4.0,2.0,1.6731552896496669
5,6,1e-05,4.0,2.0,1.6731552896496669
5,7,1e-05,4.0,2.0,1.6731552896496669
5,8,1e-05,4.0,2.0,1.6731552896496669
5,9,1e-05,4.0,2.0,1.6731552896496669
5,10,1e-05,4.0,2.0,1.6731552896496669
5,11,1e-05,4.0,2.0,1.6731552896496669
5,12,1e-05,4.0,2.0,1.6731552896496669
5,13,1e-05,4.0,2.0,1.6731552896496669
5,14,1e-05,4.0,2.0,1.6731552896496669
5,15,1e-05,4.0,2.0,1.6731552896496669
5,16,1e-05,4.0,2.0,1.6731552896496669
5,17,1e-05,4.0,2.0,1.6731552896496669
5,18,1e-05,4.0,2.0,1.6731552896496669
5,19,1e-05,4.0,2.0,1.6731552896496669
5,20,1e-05,4.0,2.0,1.6731552896496669
5,21,1e-05,4.0,2.0,1.6731552896496669
