fold,run,eta,h1,h2,ce_te,acc_te
1,0,0.4,6.0,4.0,,0.0
1,1,0.4,6.0,4.0,,0.0
1,2,0.4,6.0,4.0,,0.0
1,3,0.4,6.0,4.0,,0.0
1,4,0.4,6.0,4.0,,0.0
1,5,0.4,6.0,4.0,,0.0
1,6,0.4,6.0,4.0,,0.0
1,7,0.4,6.0,4.0,,0.0
1,8,0.4,6.0,4.0,,0.0
1,9,0.4,6.0,4.0,,0.0
1,10,0.4,6.0,4.0,,0.0
1,11,0.4,6.0,4.0,,0.0
1,12,0.4,6.0,4.0,,0.0
1,13,0.4,6.0,4.0,,0.0
1,14,0.4,6.0,4.0,,0.0
1,15,0.4,6.0,4.0,,0.0
1,16,0.4,6.0,4.0,,0.0
1,17,0.4,6.0,4.0,,0.0
1,18,0.4,6.0,4.0,,0.0
1,19,0.4,6.0,4.0,,0.0
1,20,0.4,6.0,4.0,,0.0
1,21,0.4,6.0,4.0,,0.0
1,22,0.4,6.0,4.0,,0.0
1,23,0.4,6.0,4.0,,0.0
1,24,0.4,6.0,4.0,,0.0
1,25,0.4,6.0,4.0,,0.0
1,26,0.4,6.0,4.0,,0.0
1,27,0.4,6.0,4.0,,0.0
1,28,0.4,6.0,4.0,,0.0
1,29,0.4,6.0,4.0,,0.0
2,0,0.4,6.0,4.0,,0.0
2,1,0.4,6.0,4.0,,0.0
2,2,0.4,6.0,4.0,,0.0
2,3,0.4,6.0,4.0,,0.0
2,4,0.4,6.0,4.0,,0.0
2,5,0.4,6.0,4.0,,0.0
2,6,0.4,6.0,4.0,,0.0
2,7,0.4,6.0,4.0,,0.0
2,8,0.4,6.0,4.0,,0.0
2,9,0.4,6.0,4.0,,0.0
2,10,0.4,6.0,4.0,,0.0
2,11,0.4,6.0,4.0,,0.0
2,12,0.4,6.0,4.0,,0.0
2,13,0.4,6.0,4.0,,0.0
2,14,0.4,6.0,4.0,,0.0
2,15,0.4,6.0,4.0,,0.0
2,16,0.4,6.0,4.0,,0.0
2,17,0.4,6.0,4.0,,0.0
2,18,0.4,6.0,4.0,,0.0
2,19,0.4,6.0,4.0,,0.0
2,20,0.4,6.0,4.0,,0.0
2,21,0.4,6.0,4.0,,0.0
2,22,0.4,6.0,4.0,,0.0
2,23,0.4,6.0,4.0,,0.0
2,24,0.4,6.0,4.0,,0.0
2,25,0.4,6.0,4.0,,0.0
2,26,0.4,6.0,4.0,,0.0
2,27,0.4,6.0,4.0,,0.0
2,28,0.4,6.0,4.0,,0.0
2,29,0.4,6.0,4.0,,0.0
3,0,0.4,6.0,4.0,95.59651368761574,0.5882352941176471
3,1,0.4,6.0,4.0,298.7955622643736,0.5882352941176471
3,2,0.4,6.0,4.0,138.0544939602844,0.5882352941176471
3,3,0.4,6.0,4.0,170.74926981586185,0.5882352941176471
3,4,0.4,6.0,4.0,227.56801424299272,0.5882352941176471
3,5,0.4,6.0,4.0,46.66988233388934,0.5882352941176471
3,6,0.4,6.0,4.0,253.8063934369851,0.5882352941176471
3,7,0.4,6.0,4.0,24.69203263249345,0.5882352941176471
3,8,0.4,6.0,4.0,81.85389570367194,0.5882352941176471
3,9,0.4,6.0,4.0,248.70501622602458,0.5882352941176471
3,10,0.4,6.0,4.0,173.10943742118516,0.5882352941176471
3,11,0.4,6.0,4.0,120.78225289764107,0.5882352941176471
3,12,0.4,6.0,4.0,261.26913612426256,0.5882352941176471
3,13,0.4,6.0,4.0,23.071958986617094,0.5882352941176471
3,14,0.4,6.0,4.0,23.37980809442329,0.5882352941176471
3,15,0.4,6.0,4.0,60.27997270135436,0.5882352941176471
3,16,0.4,6.0,4.0,275.45189844914046,0.5882352941176471
3,17,0.4,6.0,4.0,26.228127698222018,0.5882352941176471
3,18,0.4,6.0,4.0,153.81762148607135,0.5882352941176471
3,19,0.4,6.0,4.0,239.2653880653006,0.5882352941176471
3,20,0.4,6.0,4.0,34.3184570034764,0.5882352941176471
3,21,0.4,6.0,4.0,200.32727958262842,0.5882352941176471
3,22,0.4,6.0,4.0,82.38410656632499,0.5882352941176471
3,23,0.4,6.0,4.0,279.9811697060944,0.5882352941176471
3,24,0.4,6.0,4.0,28.640558668253597,0.5882352941176471
3,25,0.4,6.0,4.0,190.7213304406984,0.5882352941176471
3,26,0.4,6.0,4.0,213.65587315155955,0.5882352941176471
3,27,0.4,6.0,4.0,64.22143607876846,0.5882352941176471
3,28,0.4,6.0,4.0,278.14034352636276,0.5882352941176471
3,29,0.4,6.0,4.0,27.59403655980499,0.5882352941176471
4,0,0.4,6.0,4.0,90.81758605029842,0.4117647058823529
4,1,0.4,6.0,4.0,301.7061166665045,0.4117647058823529
4,2,0.4,6.0,4.0,136.02096789966248,0.4117647058823529
4,3,0.4,6.0,4.0,173.64804504977204,0.4117647058823529
4,4,0.4,6.0,4.0,225.5557428761888,0.4117647058823529
4,5,0.4,6.0,4.0,49.06488069554443,0.4117647058823529
4,6,0.4,6.0,4.0,259.49868439245535,0.4117647058823529
4,7,0.4,6.0,4.0,23.23861493132356,0.4117647058823529
4,8,0.4,6.0,4.0,31.103718460840312,0.4117647058823529
4,9,0.4,6.0,4.0,215.64724469442186,0.4117647058823529
4,10,0.4,6.0,4.0,196.2407724530923,0.4117647058823529
4,11,0.4,6.0,4.0,88.08138500910971,0.4117647058823529
4,12,0.4,6.0,4.0,278.3829968378628,0.4117647058823529
4,13,0.4,6.0,4.0,27.726483232467473,0.4117647058823529
4,14,0.4,6.0,4.0,178.6760507625866,0.4117647058823529
4,15,0.4,6.0,4.0,222.05439759288427,0.4117647058823529
4,16,0.4,6.0,4.0,53.3655857711479,0.4117647058823529
4,17,0.4,6.0,4.0,267.4077545156133,0.4117647058823529
4,18,0.4,6.0,4.0,23.509395542811454,0.4117647058823529
4,19,0.4,6.0,4.0,68.53656576675796,0.4117647058823529
4,20,0.4,6.0,4.0,279.9118933819424,0.4117647058823529
4,21,0.4,6.0,4.0,28.59944237537805,0.4117647058823529
4,22,0.4,6.0,4.0,190.21987991586738,0.4117647058823529
4,23,0.4,6.0,4.0,214.00628868505936,0.4117647058823529
4,24,0.4,6.0,4.0,63.75685574051601,0.4117647058823529
4,25,0.4,6.0,4.0,277.8817502769447,0.4117647058823529
4,26,0.4,6.0,4.0,27.453856524942616,0.4117647058823529
4,27,0.4,6.0,4.0,174.68594522767566,0.4117647058823529
4,28,0.4,6.0,4.0,224.82898939823008,0.4117647058823529
4,29,0.4,6.0,4.0,49.94191960527283,0.4117647058823529
5,0,0.4,6.0,4.0,,0.0
5,1,0.4,6.0,4.0,,0.0
5,2,0.4,6.0,4.0,,0.0
5,3,0.4,6.0,4.0,,0.0
5,4,0.4,6.0,4.0,,0.0
5,5,0.4,6.0,4.0,,0.0
5,6,0.4,6.0,4.0,,0.0
5,7,0.4,6.0,4.0,,0.0
5,8,0.4,6.0,4.0,,0.0
5,9,0.4,6.0,4.0,,0.0
5,10,0.4,6.0,4.0,,0.0
5,11,0.4,6.0,4.0,,0.0
5,12,0.4,6.0,4.0,,0.0
5,13,0.4,6.0,4.0,,0.0
5,14,0.4,6.0,4.0,,0.0
5,15,0.4,6.0,4.0,,0.0
5,16,0.4,6.0,4.0,,0.0
