fold,run,eta,h1,h2,mse_te
1,0,0.01,10.0,10.0,146768.73347412382
1,1,0.01,10.0,10.0,268895.843321507
1,2,0.01,10.0,10.0,45579.13798573536
1,3,0.01,10.0,10.0,36911.59643463212
1,4,0.01,10.0,10.0,30802.65743192956
2,0,0.01,10.0,10.0,222682.81668494907
2,1,0.01,10.0,10.0,282618.6597297054
2,2,0.01,10.0,10.0,54279.36664253376
2,3,0.01,10.0,10.0,11233.182000992765
2,4,0.01,10.0,10.0,11918.098259056365
3,0,0.01,10.0,10.0,98837.87137104318
3,1,0.01,10.0,10.0,118004.55950998842
3,2,0.01,10.0,10.0,25970.521774819103
3,3,0.01,10.0,10.0,9001.77797924776
3,4,0.01,10.0,10.0,9192.258267830879
4,0,0.01,10.0,10.0,143488.6870488066
4,1,0.01,10.0,10.0,280732.996579876
4,2,0.01,10.0,10.0,75658.73998948313
4,3,0.01,10.0,10.0,78531.14680861839
4,4,0.01,10.0,10.0,69826.34013737558
5,0,0.01,10.0,10.0,199872.617875134
5,1,0.01,10.0,10.0,206214.2154915266
5,2,0.01,10.0,10.0,45054.498224493225
5,3,0.01,10.0,10.0,8898.626239420659
5,4,0.01,10.0,10.0,11831.258119925651
